Être,To be
Avoir,To have
Aller,To go
Faire,To make/ To do
Aimer,To like
Adorer,To love
Préfére,To prefer
Detester,To hate
Dessigner,To Draw
Écouter,To listen
Téléphoner,To call
Chanter,To sing
Danser,To dance
Surfer sur Internet,To go onto the Internet
Jouer,To play
Étudier,To study
Parler,To speak
Discuter avec des amis,To chat with friends
Chercher,To search for
Trouver,To find
Donner,To give
Refuser,To refuse
Accepter,To accept
Travailer,To work
Regarder,To watch
Retourner,To return
Penser,To think
Marcher,To walk
Habiter,To live
Visiter,To visit
Inviter,To invite
Dîner,To have dinner
Porter,To wear
Laver,To wash
Débarrasser,To unload
Promener le chien,To walk the dog
Arroser les plantes,To water the plants
Vider,To empty
Passer l'aspirateur,To vaccum
Charger,To charge
Télécharger,To download
Imaginer,To imagine
Arriver,To arrive
Entrer,To enter
Rentrer,To go back (Home)
Monter,To climb/ Go up
Tomber,To fall
Deposer,To deposit
Retrier,To withdraw
Préparer,To prepare
Décider,To decide
Acheter,To buy
Répéter,To repeat
Oublier,To forget
Emporter,To carry
Manquer/ Rater,To miss
Annuler,To cancel
Appeler,To call/ Name
Épeler,To spell
Jeter,To throw
Manger,To eat
Nager,To swim
Voyager,To travel
Déranger,To disturb
Corriger,To correct
Ranger,To arrange
Changer,To change
Échanger,To exchange
Encourager,To encourage
Envoyer,To send
Nettoyer,To clean
Essuyer,To wipe
Balayer,To sweep
Payer,To pay
Essayer,To try
Avancer,To advance
Commencer,To begin
Lancer,To throw
Remplacer,To replace
Pronouncer,To pronounce
Placer,To place
Domir,To sleep
Sortir,To go out
Sortir la poubelle,To take out the trash
Partir,To leave
Servir,To serve
Lire,To read
Dire,To say/ tell
Écrire,To write
Vouloir,To want
Pouvoir,To be able to/ can
Devoir,To have to/ must
Voir,To watch
Boire,To drink
Croire,To believe
Faire du vélo,To ride a bike
Faire du ski,To ski
Faire les magasins,To go shopping
Faire la fête,To party
Faire un pique-nique,To have a picnic
Faire du sport,To play sports
Faire la vaisselle,To do the dishes
Faire la lessive,To do the laundry
Faire son lit,To make one's bed
Faire les valises,To pack your bags
Faire la queue,To stand in line
Faire escale à,To stopover at
Faire un voyage,To take a trip
Faire (la France),To visit (France)
Avoir ____ ans,To be ___ years old
Avoir chaud,To be hot
Avoir froid,To be cold
Avoir peur,To be scared
Avoir faim,To be hungry
Avoir soif,To be thirsty
Avoir besoin de,To need
Avoir envie de,To feel like
Jouer à des jeux video,To play video games
Jouer aux échecs,To play chess
Jouer aux cartes,To play cards
Jouer au foot/ au basket/ au volley,To play football/ basketball/volleyball
Jouer du piano/ du violin/ de la clarinette/ de la batterie,To play the piano/ violin/ clarinet/ drums
Falloir,To be necessary/ to need
Plaire,To please
Décrire,To Describe
Vendre,To sell
Attendre,To wait
Perdre,To lose
Répondre,To respond
Rendre,To visit
Rendre visite à,To visit people
Entendre,To hear
Descendre,To go down
Tondre la pelouse,To mow the lawn
Maigrir,To lose weight
Réussir,To succeed
Finir,To finish
Remplir,To fill
Obéir,To obey
Grossir,To gain weight
Punir,To punish
Atterrir,To land
Rougir,To turn red
Choisir,To choose
Grandir,To grow
Prendre,To take/ eat
Mettre,To put
Reprendre,To retake/ resume
Mettre la table,To lay the table
Mettre la télé,To turn on the TV/ AC
Venir,To come
Revenir,To comeback
Devenir,To become
Savoir,To know
Connaîre,To be familiar with
