Concordar,Agree
Responder; atender(telefone),Answer
Pedir desculpas,Apologize
Valorizar,Appreciate
Ser levado pela policia,Arrest
Chegar,Arrive
Frequentar (algum lugar/reunião),Attend
Evitar,Avoid
Assar,Bake
Ser ou estar,Be
Tornar se,Become
Pertencer,Belong
Sangrar,Bleed
Abençoar,Bless
Ferver,Boil
Tomar emprestado,Borrow
Quebrar,Break
Trazer,Bring
Construir,Build
Queimar,Burn
Comprar,Buy
Chamar,Call
Carregar,Carry
Mudar,Change
Trapacear,Cheat
Mastigar,Chew
Escolher,Choose
Engasgar,Choke
Cortar em pedaços,Chop
Limpar,Clean
Fechar,Close
Pentear,Comb
Comparar,Compare
Reclamar,Complain
Confundir,Confuse
Continuar,Continue
Corrigir,Correct
Custar,Cost
Tossir,Cough
Trincar,Crack
Chorar,Cry
Danificar,Damage
Dançar,Dance
Enganar,Deceive
Decidir,Decide
Entregar,Deliver
Descrever,Describe
Merecer,Deserve
Destruir,Destroy
Desenvolver,Develop
Morrer,Die
Discordar,Disagree
Desaparecer,Disappear
Fazer,Do
Desenhar,Draw
Sonhar,Dream
Dirigir,Drive
Deixar cair,Drop
Afogar,Drown
Secar,Dry
Tirar o pó,Dust
Tingir,Dye
Comer,Eat
Terminar,End
Desfrutar,Enjoy
Entrar,Enter
Escapar,Escape
Fazer exercício,Exercise
Existir,Exist
Explicar,Explain
Explodir,Explode
Encarar,Face
Fracassar,Fail
Cair,Fall
Ter medo,Fear
Alimentar,Feed
Lutar,Fight
Encontrar,Find
Encher,Fill
Preencher,Fill out
Caber,Fit
Fugir,Flee
Boiar ou flutuar,Float
Voar,Fly
Seguir,Follow
Proibir,Forbid
Forçar,Force
Esquecer,Forget
Perdoar,Forgive
Congelar,Freeze
Fritar,Fry
Reunir,Gather
Pegar,Get
Dar,Give
Desistir,Give up
Colar,Glue
Ir,Go
Sair para passear,Go out
Agarrar,Grab
Crescer,Grow
Adivinhar,Guess
Passar algo com as mãos,Hand
Pendurar,Hang
Acontecer,Happen
Odiar,Hate
Ter,Have
Curar,Heal
Ouvir,Hear
Ajudar,Help
Esconder,Hide
Segurar,Hold
Ter esperança de algo,Hope
Caçar,Hunt
Machucar,Hurt
Identificar,Identify
Ignorar,Ignore
Imaginar,Imagine
Melhorar,Improve
Causar dano físico a alguém,Injure
Pretender,Intend
Apresentar alguém,Introduce
Inventar,Invent
Convidar,Invite
Coçar,Itch
Juntar-se,Join
Julgar,Judge
Pular,Jump
Manter,Keep
