cenar,to eat dinner
parar,to stop
utilizar,to use
desear,to desire
entrar,to enter
cruzar,to cross
echar,to throw away
guadar,"to save, keep"
cocinar,to cook
pesar,to weigh
apagar,to turn off or put out
bajar,to go down
limpiar,to clean
pegar,to hit
charlar,to chat
pintar,to paint
chatear,to chat on the Internet
mandar,to send or order
sacar,to take out
dejar,to leave something somewhere
arreglar,to clean or arrange
reparar,to repair
girar,to turn or spin
llenar,to fill
vaciar,to empty
avisar,to advise
cambiar,to change or exchange
practicar,to practice
aparcar,to park
alquilar,to rent
enchufar,to plug something in
desenchufar,to unplug something
memorizar,to memorize
terminar,to end or finish
llegar,to arrive
funcionar,to work or function
contestar,to answer
explicar,to explain
aceptar,to accept
quedar,to remain or stay
gastar,to spend money
fregar,to scrub
manchar,to stain or make dirty
tapar,to cover with something
ahumar,to smoke as in meats or fish
hornear,to bake in an oven
sautear,to saute
saltar,to jump
rallar,to grate cheese
durar,how long
Aprender,to learn
beber,to drink
comer,to eat
comprender,to understand/ to comprehend
correr,To run
creer,To believe
deber,To owe
hacer,"To do, make"
leer,To Read
obtener,"To obtain, get"
parecer,"To seem, appear"
perder,To lose
poder,"To be able, can"
poner,"To put, to place"
querer,To want
saber,To know
tener,To Have
vender,To sell
ver,To see
volver,To return
abrir,To open
asistir,To attend
corregir,to correct
juntar,To join
decidir,to decide
decir,To Say
describir,to describe
divertir(se),To have fun
dormir,To Sleep
escribir,To write
ir,to go
oír,To hear
preferir,To prefer
recibir,To receive
salir,To go out
sentir,To feel
sentirse,To feel (you feel)
traducir,To translate
vivir,To live
venir,To come
ayudar,To help
bailar,To dance
comprar,To Buy
necesitar,To need
amar,to love
cantar,To sing
enseñar,to teach
escuchar,To Listen
estudiar,To study
hablar,To Speak
limpiar,to clean
mirar,To look at
preguntar,To ask a question
tocar,To play (instument)
tomar,To take
trabajar,To work
pagar,To pay
buscar,to look for
gastar dinero,to spend money
conocer,To know (someone)
conducir,To direct (to lead)
crecer,To grow (up)
establecer,to establish
producir,to produce
escoger,To choose (select)
dirigir,"To direct, manage"
emerger,to emerge
fingir,to pretend (fake)
seguir,"to follow, continue, pursue"
distinguir,to distinguish
conseguir,To get
caber,To fit
caer,To fall (down)
traer,To bring
valer,To be worth
lavar,To wash
secar,To dry
tirar,To throw away
planchar,to iron (clothing)
ducharse,To shower (wash)
recoger,To pick up (collect)
viajar,To travel
descansar,To rest (to relax)
visitar,to visit
regresar,To return (regress)
esperar,To wait (for)
llamar,to call (by phone)
discutir,To argue (discuss)
enviar,To send
extrañar,to miss (someone/something)
molestar,To bother (to annoy)
descolgar (el teléfono),to pick up (the phone)
colgar (el teléfono),To hang up (the phone)
estacionar,to park (a car)
manejar,To ride
doblar,To turn
caminar,To walk
subir,To climb (go up)
doler,To hurt (ache)
mover,To move
enfermar,To get sick
encontrar,To find
vomitar,To vomit (throw up)
doler,to ache (pain)
bucear,To scuba dive
esquiar,To ski
nadar,To swim
jugar,To play (a sport)
praticar,to practice
acampar,To camp (go camping)
volar,To fly
aterrizar,To land (an airplane)
despegar,To take off (airplane)
cazar,To hunt
pescar,To fish
asar,to grill
fumar,to smoke
disfrutar,to enjoy
pasear,To take a walk
temer,To fear
cerrar,to close
copiar,to copy
cortar,To cut
borrar,To erase (delete)
bajar (descargar),To lower 
editar,to edit
eliminar,to eliminate
formatear,to format
instalar,to install
iniciar,to start
defender,To defend (guard)
reiniciar,to reboot (restart)
besar,To kiss
llevar,To wear (carry ~ take)
depender,to depend
esconder,to hide
prometer,to promise
romper,to break
sorprender,to surprise
descubrir,to discover
dividir,to divide
existir,to exist
ocurrir,to occur
omitir,to omit
olvidar,to forget
pasar,To spend (time)
odiar,to hate
orar,to pray
llorar,to cry
ganar,to win (earn/gain)
cometer,"To make,  commit (a mistake)"
hervir,to boil
coquetear,to flirt
usar,To use (wear)
mudar,to change
